"Label","Bronx County, New York!!Estimate","Bronx County, New York!!Margin of Error","Kings County, New York!!Estimate","Kings County, New York!!Margin of Error","New York County, New York!!Estimate","New York County, New York!!Margin of Error","Queens County, New York!!Estimate","Queens County, New York!!Margin of Error","Richmond County, New York!!Estimate","Richmond County, New York!!Margin of Error"
"Total:","38,188","±1,170","222,754","±2,942","161,631","±2,040","440,933","±3,719","37,222","±984"
"    Male:","17,582","±642","104,563","±1,793","70,907","±1,469","206,912","±2,131","17,661","±617"
"        Less than 9th grade","1,421","±594","19,661","±1,799","7,029","±1,428","24,838","±2,642","1,679","±530"
"        9th to 12th grade, no diploma","1,438","±587","11,582","±1,640","6,083","±1,667","15,064","±2,548","1,504","±654"
"        Regular high school diploma","2,933","±933","21,781","±2,530","5,696","±1,917","44,137","±3,395","3,657","±736"
"        GED or alternative credential","903","±433","3,551","±1,095","644","±445","4,355","±1,003","398","±258"
"        Some college, no degree","1,986","±791","7,624","±1,119","3,233","±1,041","20,235","±2,118","1,680","±588"
"        Associate's degree","2,030","±978","4,343","±812","1,198","±511","18,290","±2,686","1,096","±466"
"        Bachelor's degree","4,159","±928","23,929","±1,770","22,998","±2,793","52,201","±3,550","4,625","±917"
"        Graduate or professional degree","2,712","±916","12,092","±1,521","24,026","±3,111","27,792","±2,476","3,022","±771"
"    Female:","20,606","±795","118,191","±1,557","90,724","±1,341","234,021","±2,032","19,561","±588"
"        Less than 9th grade","3,194","±915","25,977","±1,789","9,546","±2,151","36,085","±2,895","2,305","±624"
"        9th to 12th grade, no diploma","2,030","±603","11,494","±1,593","7,255","±1,854","15,791","±2,375","1,134","±532"
"        Regular high school diploma","3,271","±864","22,346","±2,025","4,321","±1,124","49,282","±3,380","4,486","±949"
"        GED or alternative credential","398","±251","2,598","±807","896","±593","5,375","±1,209","426","±269"
"        Some college, no degree","1,600","±584","6,058","±1,170","4,321","±1,599","19,595","±2,286","1,376","±574"
"        Associate's degree","1,677","±682","5,614","±1,034","2,450","±1,106","18,663","±2,261","1,082","±519"
"        Bachelor's degree","4,902","±849","28,875","±2,262","29,153","±2,869","58,707","±3,144","6,000","±1,064"
"        Graduate or professional degree","3,534","±954","15,229","±1,550","32,782","±2,727","30,523","±2,648","2,752","±733"
