"Label","Bronx County, New York!!Estimate","Bronx County, New York!!Margin of Error","Kings County, New York!!Estimate","Kings County, New York!!Margin of Error","New York County, New York!!Estimate","New York County, New York!!Margin of Error","Queens County, New York!!Estimate","Queens County, New York!!Margin of Error","Richmond County, New York!!Estimate","Richmond County, New York!!Margin of Error"
"Total:","359,027","±7,831","574,467","±3,993","170,988","±4,311","297,663","±3,778","30,478","±1,233"
"    Male:","158,221","±4,759","239,707","±2,582","76,886","±2,940","130,249","±2,056","13,774","±896"
"        Less than 9th grade","10,857","±1,824","9,523","±1,305","4,522","±1,510","5,246","±1,081","111","±158"
"        9th to 12th grade, no diploma","20,753","±2,419","22,384","±2,669","9,709","±1,919","12,643","±1,763","1,203","±651"
"        Regular high school diploma","46,601","±4,194","80,908","±4,300","15,986","±2,940","34,906","±2,962","3,294","±1,110"
"        GED or alternative credential","12,380","±2,134","13,606","±2,230","6,351","±1,828","9,267","±1,465","1,249","±723"
"        Some college, no degree","31,037","±3,446","47,152","±3,762","14,696","±2,406","30,266","±2,926","3,833","±1,104"
"        Associate's degree","10,328","±2,268","15,601","±2,260","4,201","±1,166","10,171","±1,701","1,335","±647"
"        Bachelor's degree","18,717","±2,384","36,863","±3,075","14,597","±3,083","19,030","±2,303","1,635","±850"
"        Graduate or professional degree","7,548","±1,393","13,670","±1,929","6,824","±1,552","8,720","±1,455","1,114","±554"
"    Female:","200,806","±4,447","334,760","±2,935","94,102","±2,991","167,414","±2,243","16,704","±629"
"        Less than 9th grade","14,836","±2,069","19,369","±2,227","4,481","±1,431","8,591","±1,550","548","±328"
"        9th to 12th grade, no diploma","29,315","±3,281","27,530","±2,932","8,943","±2,142","10,605","±1,589","1,087","±634"
"        Regular high school diploma","45,129","±4,007","97,611","±4,509","19,100","±3,073","39,513","±3,684","3,486","±890"
"        GED or alternative credential","9,780","±1,797","18,536","±2,538","5,816","±1,666","8,800","±1,487","2,305","±1,117"
"        Some college, no degree","37,917","±3,381","58,143","±3,875","16,956","±3,145","35,847","±3,179","2,525","±876"
"        Associate's degree","19,946","±2,782","25,011","±2,902","7,180","±1,641","15,451","±2,566","1,211","±632"
"        Bachelor's degree","27,395","±3,048","57,242","±3,643","18,158","±2,559","28,677","±2,982","3,361","±1,235"
"        Graduate or professional degree","16,488","±2,455","31,318","±3,121","13,468","±2,307","19,930","±2,375","2,181","±761"
