"Label","Albany County, New York!!Estimate","Allegany County, New York!!Estimate","Bronx County, New York!!Estimate","Broome County, New York!!Estimate","Cattaraugus County, New York!!Estimate","Cayuga County, New York!!Estimate","Chautauqua County, New York!!Estimate","Chemung County, New York!!Estimate","Chenango County, New York!!Estimate","Clinton County, New York!!Estimate","Columbia County, New York!!Estimate","Cortland County, New York!!Estimate","Delaware County, New York!!Estimate","Dutchess County, New York!!Estimate","Erie County, New York!!Estimate","Essex County, New York!!Estimate","Franklin County, New York!!Estimate","Fulton County, New York!!Estimate","Genesee County, New York!!Estimate","Greene County, New York!!Estimate","Hamilton County, New York!!Estimate","Herkimer County, New York!!Estimate","Jefferson County, New York!!Estimate","Kings County, New York!!Estimate","Lewis County, New York!!Estimate","Livingston County, New York!!Estimate","Madison County, New York!!Estimate","Monroe County, New York!!Estimate","Montgomery County, New York!!Estimate","Nassau County, New York!!Estimate","New York County, New York!!Estimate","Niagara County, New York!!Estimate","Oneida County, New York!!Estimate","Onondaga County, New York!!Estimate","Ontario County, New York!!Estimate","Orange County, New York!!Estimate","Orleans County, New York!!Estimate","Oswego County, New York!!Estimate","Otsego County, New York!!Estimate","Putnam County, New York!!Estimate","Queens County, New York!!Estimate","Rensselaer County, New York!!Estimate","Richmond County, New York!!Estimate","Rockland County, New York!!Estimate","St. Lawrence County, New York!!Estimate","Saratoga County, New York!!Estimate","Schenectady County, New York!!Estimate","Schoharie County, New York!!Estimate","Schuyler County, New York!!Estimate","Seneca County, New York!!Estimate","Steuben County, New York!!Estimate","Suffolk County, New York!!Estimate","Sullivan County, New York!!Estimate","Tioga County, New York!!Estimate","Tompkins County, New York!!Estimate","Ulster County, New York!!Estimate","Warren County, New York!!Estimate","Washington County, New York!!Estimate","Wayne County, New York!!Estimate","Westchester County, New York!!Estimate","Wyoming County, New York!!Estimate","Yates County, New York!!Estimate"
"Total:","6,271","155","15,304","2,484","191","119","240","356","51","334","310","77","136","3,311","9,711","31","37","126","129","162","3","137","641","93,361","30","261","46","8,156","111","35,946","89,884","654","2,193","4,564","305","2,960","65","204","181","550","181,829","1,302","13,414","5,758","239","2,085","1,851","60","22","130","628","14,746","288","80","3,982","889","228","109","236","18,966","46","30"
"    Less than $10,000","431","29","1,010","642","40","0","33","10","0","29","48","6","46","100","1,495","0","6","0","4","0","3","14","98","6,223","5","36","2","830","7","756","8,601","37","108","599","15","18","0","5","18","19","12,002","121","653","120","31","27","67","1","0","73","12","593","34","0","988","62","10","11","0","830","28","0"
"    $10,000 to $14,999","290","0","797","52","9","12","18","0","8","29","0","9","4","47","476","0","0","20","2","0","0","0","24","4,525","0","7","0","205","0","470","5,765","30","286","106","0","9","0","0","0","0","7,294","14","174","110","23","4","100","0","0","0","0","142","6","0","261","55","0","0","30","473","0","0"
"    $15,000 to $19,999","167","8","1,032","135","0","0","42","0","5","10","12","0","8","66","559","1","0","0","0","10","0","60","0","4,308","0","8","2","372","0","466","3,322","87","123","233","0","32","2","4","8","6","7,215","20","674","84","0","0","144","5","0","11","0","240","14","0","150","21","26","0","0","394","0","5"
"    $20,000 to $24,999","141","0","748","125","0","0","21","0","0","8","16","0","0","86","525","2","0","0","0","0","0","8","54","4,832","0","0","1","228","0","402","3,213","29","85","252","0","31","0","10","7","26","8,056","44","348","105","3","8","50","0","0","0","0","280","27","0","88","19","18","0","18","311","0","2"
"    $25,000 to $29,999","187","7","882","118","2","0","0","0","0","0","26","11","0","22","361","2","0","0","11","0","0","2","60","3,980","5","0","0","269","17","443","2,106","55","164","289","0","105","0","6","0","6","8,140","39","361","34","12","47","142","0","0","0","0","191","0","0","185","0","7","0","0","432","4","6"
"    $30,000 to $34,999","386","18","800","43","29","14","15","20","0","23","20","0","8","72","325","0","0","7","0","0","0","0","0","4,358","0","0","3","292","19","430","2,873","0","142","198","0","90","0","9","14","29","9,032","105","600","67","26","23","44","1","6","0","9","569","5","12","309","57","0","6","0","334","0","11"
"    $35,000 to $39,999","83","0","574","59","0","0","0","57","7","23","0","0","0","36","310","0","1","0","0","0","0","0","81","4,017","16","0","0","368","24","520","2,128","67","120","175","9","103","0","13","16","0","7,265","62","545","74","6","154","96","0","6","0","2","329","0","27","151","45","36","15","0","279","9","0"
"    $40,000 to $44,999","180","0","485","104","0","7","0","0","14","25","3","0","0","68","395","0","0","0","17","7","0","3","21","3,095","0","0","0","390","0","642","1,874","0","126","219","9","85","0","31","10","0","7,355","85","434","132","8","17","37","0","0","0","0","260","10","0","115","17","0","0","0","283","5","0"
"    $45,000 to $49,999","134","2","525","78","8","0","18","0","0","0","23","0","0","26","326","0","0","0","6","30","0","0","13","2,500","0","0","0","383","0","663","1,665","32","34","175","10","38","0","0","19","18","5,864","66","250","220","0","14","48","0","0","8","69","301","9","0","52","32","6","0","28","379","0","0"
"    $50,000 to $59,999","361","0","1,217","141","25","4","0","12","0","44","42","0","30","95","700","21","0","8","11","45","0","0","0","6,093","4","45","0","400","5","1,299","3,545","0","197","304","10","311","0","28","20","17","11,834","63","725","218","26","69","146","9","0","4","9","651","25","6","266","81","0","23","0","694","0","0"
"    $60,000 to $74,999","522","10","1,340","206","17","0","26","0","0","32","25","0","13","228","645","0","2","39","0","6","0","16","47","7,186","0","17","3","847","17","2,044","5,464","59","227","410","27","457","14","17","13","28","17,116","75","1,129","318","26","44","184","4","2","12","69","1,078","10","7","483","67","38","6","52","938","0","6"
"    $75,000 to $99,999","1,015","29","1,880","256","19","30","14","66","17","50","5","29","13","304","916","0","1","6","7","18","0","0","87","10,494","0","61","9","939","6","3,573","8,304","129","180","491","18","190","0","20","20","122","20,796","143","1,525","753","30","310","143","7","4","0","111","1,982","29","0","273","77","37","28","29","1,720","0","0"
"    $100,000 to $124,999","744","19","1,165","166","20","47","11","54","0","8","13","0","0","395","776","0","1","22","0","19","0","0","52","8,614","0","0","9","682","6","3,826","7,668","55","48","209","64","330","38","16","1","34","18,012","192","1,363","641","25","574","202","22","0","16","53","1,752","39","0","131","93","0","11","15","1,959","0","0"
"    $125,000 to $149,999","416","5","845","131","0","0","14","36","0","9","2","22","3","384","365","4","19","0","3","0","0","4","50","5,964","0","6","8","424","10","3,579","5,184","29","12","170","31","242","0","0","5","47","12,042","117","931","490","6","175","122","6","0","0","152","1,257","9","0","107","77","6","0","27","1,530","0","0"
"    $150,000 to $199,999","607","13","1,116","57","16","2","0","38","0","44","36","0","3","566","580","1","7","0","19","17","0","3","18","7,455","0","41","0","523","0","6,073","8,562","29","133","383","24","301","0","5","7","69","14,650","144","1,638","893","3","275","126","0","4","0","38","1,935","55","2","137","33","14","0","0","2,392","0","0"
"    $200,000 or more","607","15","888","171","6","3","28","63","0","0","39","0","8","816","957","0","0","24","49","10","0","27","36","9,717","0","40","9","1,004","0","10,760","19,610","16","208","351","88","618","11","40","23","129","15,156","12","2,064","1,499","14","344","200","5","0","6","104","3,186","16","26","286","153","30","9","37","6,018","0","0"
