"Label","Albany County, New York!!Estimate","Allegany County, New York!!Estimate","Bronx County, New York!!Estimate","Broome County, New York!!Estimate","Cattaraugus County, New York!!Estimate","Cayuga County, New York!!Estimate","Chautauqua County, New York!!Estimate","Chemung County, New York!!Estimate","Chenango County, New York!!Estimate","Clinton County, New York!!Estimate","Columbia County, New York!!Estimate","Cortland County, New York!!Estimate","Delaware County, New York!!Estimate","Dutchess County, New York!!Estimate","Erie County, New York!!Estimate","Essex County, New York!!Estimate","Franklin County, New York!!Estimate","Fulton County, New York!!Estimate","Genesee County, New York!!Estimate","Greene County, New York!!Estimate","Hamilton County, New York!!Estimate","Herkimer County, New York!!Estimate","Jefferson County, New York!!Estimate","Kings County, New York!!Estimate","Lewis County, New York!!Estimate","Livingston County, New York!!Estimate","Madison County, New York!!Estimate","Monroe County, New York!!Estimate","Montgomery County, New York!!Estimate","Nassau County, New York!!Estimate","New York County, New York!!Estimate","Niagara County, New York!!Estimate","Oneida County, New York!!Estimate","Onondaga County, New York!!Estimate","Ontario County, New York!!Estimate","Orange County, New York!!Estimate","Orleans County, New York!!Estimate","Oswego County, New York!!Estimate","Otsego County, New York!!Estimate","Putnam County, New York!!Estimate","Queens County, New York!!Estimate","Rensselaer County, New York!!Estimate","Richmond County, New York!!Estimate","Rockland County, New York!!Estimate","St. Lawrence County, New York!!Estimate","Saratoga County, New York!!Estimate","Schenectady County, New York!!Estimate","Schoharie County, New York!!Estimate","Schuyler County, New York!!Estimate","Seneca County, New York!!Estimate","Steuben County, New York!!Estimate","Suffolk County, New York!!Estimate","Sullivan County, New York!!Estimate","Tioga County, New York!!Estimate","Tompkins County, New York!!Estimate","Ulster County, New York!!Estimate","Warren County, New York!!Estimate","Washington County, New York!!Estimate","Wayne County, New York!!Estimate","Westchester County, New York!!Estimate","Wyoming County, New York!!Estimate","Yates County, New York!!Estimate"
"Total:","5,327","66","269,700","2,542","328","481","2,536","607","345","202","791","463","498","9,497","15,707","145","359","379","522","661","3","293","2,260","164,855","80","511","388","20,175","2,264","56,020","154,261","1,767","3,321","6,619","1,410","21,735","575","810","406","4,005","188,026","2,427","25,815","14,427","307","2,142","2,979","249","50","259","363","63,963","3,366","222","1,395","4,224","450","206","917","69,471","230","94"
"    Less than $10,000","705","12","40,578","433","24","34","483","160","24","0","96","22","66","526","2,737","12","123","35","43","6","0","42","193","20,178","0","78","10","3,147","398","1,497","21,882","194","427","940","147","1,433","105","174","21","103","10,509","285","3,671","745","46","87","318","3","13","21","10","2,173","247","14","255","279","4","5","31","4,347","6","29"
"    $10,000 to $14,999","273","2","27,451","340","15","63","475","42","0","4","26","97","15","410","1,684","10","3","64","0","71","0","0","7","13,612","0","20","0","2,209","198","1,527","15,271","228","256","603","103","728","11","91","36","65","7,630","143","1,199","655","12","16","268","16","7","19","28","2,465","246","0","57","380","63","0","106","3,254","32","0"
"    $15,000 to $19,999","286","21","21,614","116","31","20","188","25","20","17","41","5","42","316","1,306","3","12","81","12","38","1","67","49","10,578","14","43","4","1,419","195","1,667","10,201","184","247","431","84","898","65","24","8","164","7,600","202","697","656","25","7","252","9","0","9","52","1,861","449","32","71","155","28","0","64","3,086","19","0"
"    $20,000 to $24,999","414","1","18,071","182","35","34","240","77","50","14","44","84","74","497","1,123","5","34","8","70","0","0","3","48","9,335","0","15","16","1,167","189","1,761","8,093","63","332","360","113","929","97","83","0","132","8,195","68","1,027","578","5","32","153","8","0","0","45","1,867","100","5","65","251","73","9","66","3,425","25","0"
"    $25,000 to $29,999","234","2","14,322","83","20","39","84","5","22","8","53","14","17","693","814","0","12","63","61","107","0","0","249","8,603","0","49","6","1,351","168","2,011","7,336","75","224","300","157","577","38","27","50","171","8,862","216","918","626","2","80","115","11","0","20","6","1,877","165","26","59","228","22","6","36","2,976","0","3"
"    $30,000 to $34,999","289","2","13,762","168","58","13","141","0","8","0","0","13","0","540","811","23","17","1","124","21","0","7","204","7,742","1","19","3","1,312","116","1,576","7,378","110","237","364","110","914","0","4","0","122","9,345","147","991","551","11","136","63","19","0","14","20","2,517","346","0","167","167","16","6","76","3,109","20","0"
"    $35,000 to $39,999","408","0","12,588","106","12","80","172","26","3","0","70","39","67","225","748","19","3","0","12","0","0","0","70","7,569","0","20","49","989","119","1,629","6,716","99","166","267","105","948","23","13","26","171","8,509","201","809","573","5","63","170","24","0","46","10","1,580","37","30","43","301","17","21","86","2,997","6","0"
"    $40,000 to $44,999","183","0","12,561","73","7","29","104","9","0","12","3","0","28","292","792","1","12","0","36","88","0","2","224","7,144","0","0","6","923","76","2,447","5,774","50","89","234","29","1,051","0","67","23","59","9,258","31","773","538","0","45","376","0","0","6","10","1,739","257","15","69","136","0","8","30","2,434","0","0"
"    $45,000 to $49,999","278","5","10,511","40","8","3","109","11","1","18","20","14","37","338","543","0","13","5","32","14","0","0","191","5,892","14","29","17","759","37","1,395","4,374","110","152","301","55","696","44","10","32","62","7,687","57","1,052","433","47","60","120","0","0","5","0","1,625","133","0","53","142","3","23","10","2,584","2","0"
